feature,rf_importance,gbm_importance,permutation_importance,weight_pct
game_number,0.2667560484502137,0.4082229507383868,-6.661338147750939e-17,33.7
parking_avg_cost,0.24900524194669396,0.08419548103597391,-7.216449660063518e-17,16.7
month,0.11217437621332714,0.21877835288017183,8.326672684688674e-17,16.5
concession_value_index,0.2364491653519888,0.05097983217169592,0.012453206303753872,14.4
school_session_score,0.060557419814634736,0.05118061132260481,-1.1102230246251566e-17,5.6
is_weekend,0.04831795918982956,0.043672281999819505,0.07926600351393481,4.6
is_bad_weather,0.004114512307748242,0.05870274852406155,-1.4988010832439614e-16,3.1
is_holiday_weekend,0.02102578873312176,0.037500725176011336,0.04823045603988656,2.9
opponent_tier,0.0,0.04064673612874919,0.0005376167197760518,2.0
competing_event_score,0.0015994879924422117,0.006120280022525009,0.0563332041554665,0.4
parking_free,0.0,0.0,2.2204460492503132e-17,0.0
social_buzz_score,0.0,0.0,0.024402375384988916,0.0
has_promo,0.0,0.0,0.004070421060681217,0.0
has_bundle_offer,0.0,0.0,0.0004919553812137379,0.0
promo_multiplier,0.0,0.0,8.881784197001253e-17,0.0
transit_score,0.0,0.0,0.056712313436601304,0.0
is_evening,0.0,0.0,2.7755575615628914e-17,0.0
total_coa_vs_fc,0.0,0.0,1.3877787807814457e-16,0.0
